PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
00yIS,3r3k/p5p1/5q1p/8/P1b5/4Q1RP/6BK/8 b - - 6 42,d8d3 e3e8 c4g8 g3d3,1140,75,100,745,advantage deflection discoveredAttack endgame master short,https://lichess.org/fIQfIXST/black#84,,
00yPS,5k2/p3pp2/7p/2Qp1P2/6B1/6q1/2K5/8 b - - 2 43,g3g4 c5c8 f8g7 f5f6 g7f6 c8g4,1070,90,94,788,crushing discoveredAttack endgame long queenEndgame,https://lichess.org/pyTEOQI7/black#86,,
01GKn,2r2rk1/pbb1qp1p/1pn1p1p1/8/1P1PN3/P2BP2R/2Q1N1PP/5RK1 b - - 3 20,c6b8 e4f6 e7f6 f1f6,966,88,90,611,crushing kingsideAttack middlegame short,https://lichess.org/uBkKtvl9/black#40,,
01LaG,6rk/R7/3p1q1p/3P2pQ/1P2P3/3P1p1P/P1r3PB/1R5K w - - 0 28,a7f7 f3g2 h1g1 f6d4 f7f2 d4f2,1582,76,92,1366,advancedPawn kingsideAttack long mate mateIn3 middlegame,https://lichess.org/UtNFI4I6#55,,
01xdm,r3k2r/4bppp/p2p4/2pPp3/4P1n1/2N2P1q/PP1BQP1P/R3K2R b KQkq - 6 15,g4h2 e1c1 h3f3 h1h2 f3e2 c3e2,1878,80,73,307,advantage castling long middlegame,https://lichess.org/kaULwkrz/black#30,Sicilian_Defense Sicilian_Defense_Alapin_Variation,
027iQ,b4rk1/4bppp/p1q5/4p3/2P1n3/4B1P1/PP2Q1BP/R4RK1 w - - 0 21,e3f2 e4c3 g2c6 c3e2 g1g2 a8c6,2232,96,87,227,crushing long middlegame,https://lichess.org/lQJOhNdj#41,,
029K1,8/R7/3p1rp1/2p1p1kp/1pPnP3/1P3P1P/5KP1/3B4 b - - 1 43,g5f4 h3h4 d4f5 e4f5,2144,79,87,142,crushing endgame quietMove short,https://lichess.org/VrbQCgVu/black#86,,
02Pu3,5r2/3R4/6k1/1p6/p1pB3P/3n2K1/5P2/8 b - - 3 43,f8f7 h4h5 g6h5 d7f7,1546,76,95,22647,crushing deflection endgame short,https://lichess.org/lE1ZWltu/black#86,,
02rnR,2r5/3k2p1/p2p4/1pqR2b1/2n1Bp2/P7/1PP1Q1PP/2K4R b - - 9 26,c5d5 e2g4 d5e6 e4f5 c8c5 f5e6,1812,75,92,3202,crushing long middlegame pin,https://lichess.org/pihAzJje/black#52,,
03bV3,r1bqk2r/1pp1nppp/1pnp4/4p1N1/2B1PP2/8/PPPP2PP/R1BQK2R b KQkq - 1 8,e8g8 d1h5 h7h6 g5f7,1933,78,91,4326,advantage opening short,https://lichess.org/1gS2tOXt/black#16,Kings_Gambit_Declined Kings_Gambit_Declined_Classical_Variation,
03cV1,r2q1rk1/pb2bppp/1p6/n2B4/5B2/5N2/PP3PPP/2RQ1RK1 w - - 1 15,f4c7 d8d5 d1d5 b7d5,1328,76,82,372,crushing master opening short,https://lichess.org/5vHgaf6e#29,Queens_Gambit_Declined Queens_Gambit_Declined_Harrwitz_Attack,
03qSh,r2q1r1k/3n1b1p/p2b1p2/8/3P2QN/2P3PP/P4PB1/R4RK1 b - - 2 19,a8c8 h4f5 f7g6 f5d6,1501,76,90,137,crushing middlegame short,https://lichess.org/HcsK0EXh/black#38,Kings_Indian_Attack Kings_Indian_Attack_Other_variations,
04dFj,2r2rk1/1b1n1pp1/p3p2p/qp1pP3/8/3BPNP1/PP1KQPP1/3R3R w - - 7 18,b2b4 a5b4,1371,77,93,2178,mate mateIn1 middlegame oneMove,https://lichess.org/OFCV5L4d#35,Queens_Pawn_Game Queens_Pawn_Game_London_System,
04hNd,8/7p/2p5/3q1pQ1/4p3/5kPP/3P1P2/6K1 b - - 2 35,d5d3 g5h5,1977,88,90,2956,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/acB1djfT/black#70,,
05EXs,2r1Q2k/1br3bp/3p2p1/1p1P1q2/1P6/1B6/1B4PP/1R2R1K1 b - - 1 27,c8e8 e1e8 f5f8 e8f8,619,92,100,114,mate mateIn2 middlegame pin short,https://lichess.org/hWGOJ41R/black#54,,
05Vrb,6r1/p1p4k/5P1p/5R1P/2B2RK1/1P4P1/3r4/8 w - - 3 37,g4h4 d2h2,710,79,100,148,endgame master mate mateIn1 oneMove,https://lichess.org/T2HTELuP#73,,
05gES,3R1bk1/2q2n1p/rn2rPp1/2p1p3/p3P3/1P2NN1P/PBQ2P2/3R2K1 w - - 1 32,e3d5 c7d8 d5e7 f8e7 d1d8 e7d8,2093,76,93,3476,advantage hangingPiece long middlegame,https://lichess.org/ppQl8hai#63,,
06cff,r5k1/4pp1p/1n1p2p1/2pP4/P3P3/1P1n1qPP/2QB1P2/4R1KR w - - 3 25,e1e3 f3f2,948,107,96,255,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/AzYg1ZDR#49,,
06pP5,8/4pp2/3p4/3PP2p/5Pk1/1R4r1/8/4K3 w - - 0 42,b3g3 g4g3 f4f5 f7f6,2262,80,89,308,crushing endgame master masterVsMaster short,https://lichess.org/2xLy723X#83,,
07pYZ,3rr2k/1q2Np1p/1n1Pn1p1/2p3B1/8/8/PP2Q1PP/R2R3K b - - 0 27,e6g5 e2e5 f7f6 e5f6,1468,75,89,857,fork mate mateIn2 middlegame short,https://lichess.org/tB7Fwvaq/black#54,,
087tV,4r1k1/pp1n1rp1/2p1ppNp/6q1/Q2P4/2P4P/PP2RPP1/4R1K1 w - - 2 22,e2e6 e8e6 e1e6 g5g6,1655,76,84,1136,advantage middlegame short,https://lichess.org/FYwV6K3D#43,,
08Cgg,2r5/8/7p/8/2Bk2pP/1p4P1/5P2/1R4K1 b - - 0 52,d4c4 b1c1 c4d3 c1c8,811,82,65,138,crushing endgame master rookEndgame short skewer,https://lichess.org/ltjoTxd0/black#104,,
090Pe,r4r1k/1p2b1p1/2p3bp/4q3/1PBRNp2/P4Q1P/5PP1/3R2K1 w - - 2 24,e4c5 e7c5 b4c5 g6h5,2166,85,88,1510,advantage middlegame short,https://lichess.org/5Pcu91td#47,,
09bA0,2r2bk1/5p2/4p1pp/pPN1P3/Pq3P2/4Q3/6PP/2R3K1 w - - 3 29,c5d7 c8c1 e3c1 b4d4,1156,80,87,1502,crushing endgame short,https://lichess.org/t3XtIoJQ#57,,
0AAe6,8/8/4p1p1/5p1p/1k3P1P/p5P1/P1K5/8 b - - 1 56,b4a4 c2c3 a4b5 c3b3 b5c5 b3a3 e6e5 f4e5 g6g5 h4g5,1895,76,95,5822,crushing endgame pawnEndgame veryLong,https://lichess.org/8FgYqmvx/black#112,,
0ABgy,4r1k1/p2b1ppp/8/2PPp1q1/2P2n2/2R5/P2Q2PN/5BK1 w - - 7 35,c3f3 f4h3 f3h3 g5d2,1595,76,96,14873,crushing discoveredAttack master middlegame pin short,https://lichess.org/vTiWuBwc#69,,
